id,owner_id,group_name,created_date
176,781,service-desk,2023-12-15
177,815,Synergized,2023-10-15
178,352,asynchronous,2024-02-25
179,119,bi-directional,2023-10-03
180,370,scalable,2023-10-15
181,225,Assimilated,2023-08-17
182,417,Re-engineered,2024-06-11
183,58,policy,2023-09-20
184,579,encoding,2024-04-18
185,21,intermediate,2024-05-06
186,117,human-resource,2023-09-06
187,379,secondary,2023-12-22
188,852,Multi-lateral,2023-11-28
189,313,Realigned,2024-01-12
190,685,service-desk,2023-09-16
191,581,Vision-oriented,2024-01-17
192,100,software,2023-10-07
193,147,web-enabled,2024-05-20
194,818,task-force,2024-06-07
195,738,Automated,2024-06-08
196,323,Customer-focused,2024-05-19
197,75,didactic,2024-08-10
198,891,Innovative,2023-08-29
199,89,scalable,2024-05-22
200,604,Managed,2024-03-31
201,537,didactic,2024-01-01
202,45,support,2024-05-15
203,978,solution-oriented,2024-06-23
204,793,Operative,2024-04-09
205,543,hierarchy,2024-07-27
206,228,matrix,2024-03-04
207,4,Universal,2024-05-30
208,421,Programmable,2024-04-10
209,1,core,2023-10-07
210,593,high-level,2024-03-24
211,937,Multi-lateral,2024-06-16
212,807,bottom-line,2024-05-05
213,128,next generation,2024-06-30
214,460,access,2024-05-11
215,89,framework,2024-01-18
216,127,static,2023-10-08
217,381,Proactive,2023-11-10
218,191,protocol,2024-01-21
219,280,Compatible,2023-08-30
220,846,Phased,2024-05-23
221,262,Versatile,2024-05-19
222,524,Stand-alone,2024-05-02
223,492,multimedia,2024-06-27
224,309,fresh-thinking,2023-08-25
225,431,demand-driven,2023-08-23
226,690,Proactive,2023-11-03
227,29,Secured,2024-02-29
228,503,Graphic Interface,2023-09-16
229,228,Multi-channelled,2023-12-06
230,576,human-resource,2023-11-01
231,683,3rd generation,2024-06-15
232,71,Reverse-engineered,2024-07-12
233,729,orchestration,2024-07-09
234,328,logistical,2024-03-24
235,766,Quality-focused,2024-02-12
236,410,synergy,2023-12-12
237,435,context-sensitive,2024-02-07
238,498,system-worthy,2024-03-30
239,672,24 hour,2023-10-08
240,882,asynchronous,2023-12-11
241,521,Multi-layered,2024-05-24
242,47,Organic,2023-10-14
243,856,emulation,2024-07-15
244,904,motivating,2024-03-22
245,890,multimedia,2024-06-30
246,947,web-enabled,2024-04-14
247,844,Cloned,2024-07-19
248,125,project,2024-02-10
249,893,leading edge,2024-01-23
250,705,benchmark,2024-05-30
251,442,Front-line,2023-09-25
252,290,background,2023-11-11
253,253,Operative,2024-05-12
254,710,application,2023-11-08
255,755,concept,2023-10-01
256,643,Synergistic,2023-11-14
257,351,archive,2024-07-21
258,479,hub,2024-05-24
259,118,functionalities,2023-12-12
260,422,Persevering,2024-07-12
261,550,workforce,2023-09-24
262,451,Customer-focused,2024-03-22
263,333,groupware,2024-07-21
264,620,clear-thinking,2023-10-02
265,319,scalable,2024-07-07
266,494,groupware,2024-02-15
267,781,conglomeration,2024-07-10
268,875,Profit-focused,2023-09-21
269,407,Cloned,2023-11-01
270,40,eco-centric,2024-03-25
271,991,parallelism,2023-11-29
272,823,Reverse-engineered,2024-03-26
273,993,needs-based,2024-03-06
274,34,forecast,2023-10-17
275,911,website,2024-05-16
276,487,impactful,2024-03-08
277,58,Secured,2024-04-06
278,986,alliance,2024-03-03
279,983,moratorium,2024-02-23
280,772,installation,2023-12-22
281,333,next generation,2024-05-27
282,336,heuristic,2023-11-08
283,983,Right-sized,2024-05-10
284,454,collaboration,2024-06-19
285,110,Cross-platform,2023-12-07
286,955,Expanded,2023-11-28
287,925,client-driven,2024-03-17
288,83,capacity,2023-12-31
289,566,Graphic Interface,2024-04-08
290,683,attitude-oriented,2023-09-05
291,844,Enhanced,2024-02-20
292,662,Progressive,2024-03-31
293,264,Multi-layered,2023-12-13
294,538,moratorium,2023-12-17
295,172,dynamic,2024-02-19
296,456,national,2024-03-20
297,640,disintermediate,2023-11-24
298,121,web-enabled,2024-01-10
299,985,Compatible,2023-09-19
300,362,24 hour,2023-10-24
301,530,Automated,2024-05-23
302,96,focus group,2024-07-23
303,572,system-worthy,2024-01-13
304,329,non-volatile,2023-10-31
305,295,Ergonomic,2024-03-27
306,379,ability,2024-05-01
307,534,Switchable,2024-01-27
308,680,Profit-focused,2024-04-17
309,286,bottom-line,2024-04-23
310,433,empowering,2024-03-03
311,850,hybrid,2023-10-03
312,903,artificial intelligence,2023-09-07
313,891,contingency,2024-01-09
314,329,data-warehouse,2023-11-06
315,28,Enhanced,2024-07-16
316,827,Focused,2024-03-10
317,278,Business-focused,2024-03-18
318,511,explicit,2024-05-18
319,835,standardization,2024-02-23
320,993,neural-net,2024-03-03
321,759,Realigned,2024-03-08
322,163,database,2024-02-15
323,424,Focused,2023-12-29
324,654,encoding,2024-02-14
325,768,benchmark,2024-07-09
326,317,superstructure,2023-10-01
327,30,Enhanced,2024-08-02
328,748,Automated,2023-09-24
329,152,Robust,2023-12-08
330,19,Cross-group,2024-03-18
331,488,orchestration,2024-04-02
332,195,bifurcated,2024-04-06
333,770,didactic,2023-08-21
334,826,definition,2023-11-12
335,427,software,2024-04-08
336,146,cohesive,2024-06-01
337,428,knowledge user,2023-12-06
338,574,motivating,2023-10-06
339,549,zero tolerance,2023-10-08
340,752,Object-based,2024-04-03
341,100,customer loyalty,2023-11-27
342,244,superstructure,2023-12-05
343,107,open system,2024-03-31
344,331,bottom-line,2023-10-08
345,265,infrastructure,2024-06-26
346,615,archive,2024-06-25
347,999,service-desk,2024-08-12
348,413,Open-architected,2024-05-12
349,619,help-desk,2023-09-06
350,515,parallelism,2023-08-23
351,123,Open-source,2023-10-03
352,762,contingency,2024-03-03
353,102,matrix,2024-07-31
354,432,Cloned,2024-03-03
355,792,Face to face,2023-10-23
356,762,Customer-focused,2024-03-24
357,380,hardware,2024-02-18
358,11,multi-tasking,2024-01-24
359,15,stable,2023-10-05
360,573,actuating,2024-05-13
361,373,architecture,2023-12-10
362,753,coherent,2023-09-16
363,537,capability,2024-04-06
364,237,support,2023-10-28
365,710,Vision-oriented,2023-08-26
366,851,frame,2024-08-08
367,30,Reduced,2024-04-01
368,202,web-enabled,2024-08-06
369,309,functionalities,2023-09-18
370,257,scalable,2024-03-17
371,68,Cross-group,2023-09-15
372,245,Enterprise-wide,2024-05-21
373,369,Expanded,2023-12-27
374,254,Pre-emptive,2024-05-13
375,72,maximized,2023-11-26
376,224,object-oriented,2023-10-12
377,926,Persistent,2023-11-19
378,135,Up-sized,2024-05-25
379,244,Up-sized,2024-04-15
380,21,architecture,2023-09-02
381,618,Robust,2023-12-16
382,465,open architecture,2023-10-25
383,718,Virtual,2023-12-27
384,574,Intuitive,2024-02-16
385,93,4th generation,2024-07-24
386,967,actuating,2024-04-01
387,977,Exclusive,2024-01-04
388,526,intangible,2024-04-09
389,916,Open-source,2024-06-14
390,935,Future-proofed,2023-10-08
391,967,responsive,2024-04-09
392,746,moderator,2024-06-20
393,931,tertiary,2024-03-28
394,714,methodical,2023-12-01
395,102,policy,2023-08-19
396,704,content-based,2024-03-11
397,876,parallelism,2023-12-08
398,335,productivity,2024-04-20
399,967,data-warehouse,2023-09-23
400,818,disintermediate,2024-01-25
401,64,challenge,2024-02-19
402,270,grid-enabled,2024-07-16
403,185,composite,2024-01-11
404,100,complexity,2023-11-22
405,520,discrete,2023-11-25
406,10,Innovative,2024-02-14
407,715,User-friendly,2024-04-28
408,820,Robust,2023-12-25
409,951,contextually-based,2024-05-12
410,910,focus group,2024-06-10
411,190,Expanded,2024-07-28
412,1000,alliance,2024-02-03
413,654,Universal,2024-07-26
414,67,open architecture,2024-05-26
415,301,reciprocal,2024-04-01
416,657,De-engineered,2023-11-11
417,122,uniform,2024-05-10
418,404,methodical,2023-09-30
419,955,local,2024-02-29
420,57,Centralized,2024-02-04
421,184,Distributed,2024-06-08
422,404,model,2024-02-08
423,323,conglomeration,2023-11-21
424,63,synergy,2023-12-22
425,214,De-engineered,2023-10-28
426,233,Horizontal,2023-08-29
427,63,core,2024-07-14
428,981,neutral,2024-02-06
429,594,Focused,2024-02-23
430,170,human-resource,2024-02-06
431,378,Down-sized,2024-01-15
432,584,Multi-layered,2024-02-01
433,812,policy,2024-07-02
434,720,3rd generation,2024-04-23
435,513,parallelism,2024-05-19
436,35,Phased,2023-08-30
437,613,Grass-roots,2024-05-09
438,394,Streamlined,2024-02-15
439,629,Digitized,2023-11-24
440,772,object-oriented,2023-09-09
441,277,Adaptive,2024-02-11
442,416,Reduced,2024-06-14
443,267,Seamless,2023-11-24
444,446,tangible,2023-08-23
445,484,human-resource,2024-04-04
446,841,3rd generation,2024-02-23
447,773,Proactive,2023-12-21
448,675,Versatile,2024-04-20
449,488,Focused,2024-03-28
450,255,orchestration,2023-09-12
451,353,intranet,2024-06-29
452,768,encryption,2023-12-22
453,311,Cross-platform,2024-01-31
454,578,Graphical User Interface,2024-02-03
455,537,knowledge user,2023-10-04
456,250,Reverse-engineered,2023-10-31
457,376,Organic,2023-12-14
458,604,functionalities,2024-06-08
459,87,scalable,2024-07-02
460,72,leverage,2023-10-26
461,324,capability,2023-09-21
462,29,impactful,2024-06-25
463,654,Universal,2023-10-02
464,562,portal,2023-11-11
465,722,encoding,2023-10-21
466,261,human-resource,2023-08-15
467,603,modular,2024-03-16
468,525,moderator,2023-09-15
469,50,Face to face,2024-07-03
470,7,definition,2024-04-10
471,653,even-keeled,2024-07-30
472,999,solution-oriented,2024-07-01
473,987,Enhanced,2023-12-23
474,963,Upgradable,2023-09-30
475,864,Future-proofed,2023-10-19
476,638,system engine,2024-07-17
477,638,hybrid,2024-07-29
478,469,synergy,2024-03-12
479,334,Proactive,2023-11-12
480,132,capability,2024-06-17
481,70,solution,2023-11-16
482,80,Cloned,2024-02-21
483,373,utilisation,2024-05-17
484,238,optimizing,2023-11-19
485,251,challenge,2024-05-09
486,574,capacity,2024-06-02
487,543,Mandatory,2024-01-13
488,461,Reverse-engineered,2024-07-06
489,145,monitoring,2023-10-31
490,506,structure,2024-01-13
491,86,groupware,2024-05-09
492,548,internet solution,2024-03-14
493,451,Decentralized,2024-07-16
494,399,discrete,2023-12-22
495,204,migration,2023-10-29
496,589,motivating,2024-01-11
497,225,next generation,2023-12-19
498,271,Multi-layered,2024-05-27
499,265,Ameliorated,2024-03-15
500,316,Profit-focused,2024-03-24
